,Li,Na,Mg,K,Ca,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Sr,Y,Zr,Mo,Pd,Cs,Ba,La,Ce,Nd,Eu,Tb,Hf,W,none,MgO,Al2O3,SiO2,CaO,TiO2,ZrO2,BaO,La2O3,CeO2,Positive_unary,Non-positive_unary,Uncertain_unary,Positive_binary,Non-positive_binary,Uncertain_binary,Positive_ternary,Non-positive_ternary,Uncertain_ternary,y_actual,SVM,RF
Sr-Ce-none-CeO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.187256176853056,0.47984395318595613,0.3328998699609885,0.0,0.2,0.8,0.0,0.0,0.0
Mg-Ni-Y-CaO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09288824383164006,0.5355587808417999,0.37155297532656023,0.0,0.2,0.8,1.0,0.0,0.0
Ca-La-Hf-La2O3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3600000000000001,0.6400000000000001,0.0,0.0,1.0,1.0,0.0,1.0
Zn-Hf-W-La2O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5939086294416247,0.14619289340101516,0.25989847715736025,0.0,0.3600000000000001,0.6400000000000001,0.7378560000000001,0.0,0.26214399999999993,0.0,0.0,1.0
Li-Ba-Nd-BaO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12121212121212126,0.12121212121212126,0.7575757575757575,0.11764705882352942,0.411764705882353,0.4705882352941177,0.37888198757763997,0.2236024844720498,0.3975155279503108,1.0,1.0,1.0
Eu-Hf-W-ZrO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22413793103448285,0.5000000000000003,0.2758620689655173,0.0,0.5904000000000001,0.40960000000000013,0.2604950541909228,0.5456481612949032,0.193856784514175,0.0,0.0,0.0
Ba-Eu-W-ZrO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1164714102334953,0.7504184066425105,0.13311018312399459,0.0,0.5904000000000001,0.40960000000000013,0.16998671978751667,0.4900398406374504,0.33997343957503334,1.0,0.0,0.0
Li-Eu-W-ZrO2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04475030618343033,0.8657490814497094,0.08950061236686065,0.0729093735537386,0.7974739623507263,0.1296166640955353,0.380804953560372,0.35500515995872073,0.2641898864809084,1.0,0.0,0.0
Y-Eu-W-ZrO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3822075782537068,0.4069192751235583,0.21087314662273465,0.0,0.3600000000000001,0.6400000000000001,0.481327800829876,0.25311203319502096,0.26556016597510396,0.0,0.0,0.0
Cs-Eu-W-ZrO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29237806258774557,0.5839560406382568,0.12366589677399886,0.22618021755107479,0.5709675693986347,0.20285221305029114,0.5218934549126406,0.2333159940026316,0.24479055108472816,0.0,0.0,0.0
Mo-Eu-W-ZrO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29074446680080485,0.5947909680304049,0.11446456516879046,0.1556336125371523,0.5676844096190224,0.27668197784382625,0.6960197587156839,0.10943288686235404,0.19454735442196275,0.0,0.0,0.0
V-Eu-W-ZrO2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020922738217391365,0.8953863089130436,0.08369095286956546,0.16795002055496294,0.6924551571655885,0.1395948222794497,0.09318474214991078,0.669099078896236,0.23771617895385394,0.0,0.0,0.0
K-V-W-MgO,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.4880000000000001,0.5120000000000001,0.0,0.0,1.0,0.0,0.0,0.0
Ti-Ce-W-TiO2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.29514097180563875,0.5000999800039994,0.20475904819036186,0.0791754692580742,0.7277136301124771,0.19311090062944922,0.5180722891566268,0.09638554216867476,0.38554216867469904,0.0,0.0,0.0
V-Mo-Eu-BaO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.30614300100704933,0.43605236656596197,0.25780463242698876,0.28073926224100354,0.5824320825782322,0.13682865518076517,0.32795698924731204,0.327956989247312,0.3440860215053765,1.0,1.0,1.0
K-V-Y-CaO,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7095035460992911,0.29049645390070894,0.14077536431124563,0.5776739070662636,0.2815507286224912,0.0,0.5904000000000001,0.40960000000000013,0.0,0.0,0.0
K-Ce-none-MgO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3600000000000001,0.6400000000000001,0.0,0.0,1.0,0.0,0.0,0.0
